Date,Price,Open,High,Low,Vol.,Change %
28-Mar-18,"2,605.00","2,611.30","2,632.65","2,593.06",0,-0.29
27-Mar-18,"2,612.62","2,667.57","2,674.78","2,596.12",0,-1.73
26-Mar-18,"2,658.55","2,619.35","2,661.36","2,601.81",0,2.72
23-Mar-18,"2,588.26","2,646.71","2,657.67","2,585.89",0,-2.1
22-Mar-18,"2,643.69","2,691.36","2,695.68","2,641.59",0,-2.52
21-Mar-18,"2,711.93","2,714.99","2,739.14","2,709.79",0,-0.18
20-Mar-18,"2,716.94","2,715.05","2,724.22","2,710.05",0,0.15
19-Mar-18,"2,712.92","2,741.38","2,741.38","2,694.59",0,-1.42
16-Mar-18,"2,752.01","2,750.57","2,761.85","2,749.97",0,0.17
15-Mar-18,"2,747.33","2,754.27","2,763.03","2,741.47",0,-0.08
14-Mar-18,"2,749.48","2,774.06","2,777.11","2,744.38",0,-0.57
13-Mar-18,"2,765.31","2,792.31","2,801.90","2,758.68",0,-0.64
12-Mar-18,"2,783.02","2,790.54","2,796.98","2,779.26",0,-0.13
9-Mar-18,"2,786.57","2,752.91","2,786.57","2,751.54",0,1.74
8-Mar-18,"2,738.97","2,732.75","2,740.45","2,722.65",0,0.45
7-Mar-18,"2,726.80","2,710.18","2,730.60","2,701.74",0,-0.05
6-Mar-18,"2,728.12","2,730.18","2,732.08","2,711.26",0,0.26
5-Mar-18,"2,720.94","2,681.06","2,728.09","2,675.75",0,1.1
2-Mar-18,"2,691.25","2,658.89","2,696.25","2,647.32",0,0.51
1-Mar-18,"2,677.67","2,715.22","2,730.89","2,659.65",0,-1.33
28-Feb-18,"2,713.83","2,753.78","2,761.52","2,713.54",0,-1.11
27-Feb-18,"2,744.28","2,780.45","2,789.15","2,744.22",0,-1.27
26-Feb-18,"2,779.60","2,757.37","2,780.64","2,753.78",0,1.18
23-Feb-18,"2,747.30","2,715.80","2,747.76","2,713.74",0,1.6
22-Feb-18,"2,703.96","2,710.42","2,731.26","2,697.77",0,0.1
21-Feb-18,"2,701.33","2,720.53","2,747.75","2,701.29",0,-0.55
20-Feb-18,"2,716.26","2,722.99","2,737.60","2,706.76",0,-0.58
16-Feb-18,"2,732.22","2,727.14","2,754.42","2,725.11",0,0.04
15-Feb-18,"2,731.20","2,713.46","2,731.51","2,689.82",0,1.21
14-Feb-18,"2,698.63","2,651.21","2,702.10","2,648.87",0,1.34
13-Feb-18,"2,662.94","2,646.27","2,668.84","2,637.08",0,0.26
12-Feb-18,"2,656.00","2,636.75","2,672.61","2,622.45",0,1.39
9-Feb-18,"2,619.55","2,601.78","2,638.67","2,532.69",0,1.49
